# Rust simulate() self-time by leaf function
# NX=NY=64  t_end=57600  wall=2.9s  solver=Erk (diffsol)
# 152 samples @ 997 Hz
#  self%   samples  function
  15.79        24  earthsci_ast::simulate_array::eval_index
  13.16        20  earthsci_ast::simulate_array::eval_arith::{{closure}}
   9.87        15  <smallvec::SmallVec<A> as core::iter::traits::collect::FromIterator<<A as smallvec::Array>::Item>>::from_iter
   8.55        13  earthsci_ast::simulate_array::vec_combine::{{closure}}
   5.92         9  ndarray::dimension::dim::Dim
   5.92         9  alloc::alloc::alloc
   3.95         6  earthsci_ast::simulate_array::eval_index::{{closure}}
   3.29         5  alloc::vec::Vec<T,A>::push_mut
   3.29         5  core::ptr::copy_nonoverlapping
   3.29         5  earthsci_ast::simulate_array::combine::{{closure}}
   2.63         4  earthsci_ast::simulate_array::evaluate_rhs_with_scratch
   2.63         4  earthsci_ast::simulate_array::eval_vec_op
   1.97         3  core::ptr::drop_in_place<earthsci_ast::types::ExpressionNode>
   1.97         3  alloc::raw_vec::RawVecInner<A>::try_allocate_in
   1.97         3  alloc::alloc::dealloc_nonnull
   1.32         2  core::hash::Hasher::write_u8
   1.32         2  core::ptr::drop_in_place<[earthsci_ast::simulate_array::RhsRule]>
   1.32         2  <alloc::vec::Vec<T> as alloc::vec::spec_from_iter::SpecFromIter<T,I>>::from_iter
   1.32         2  <A as core::slice::cmp::SlicePartialEq<B>>::equal_same_length
   0.66         1  earthsci_ast::simulate_array::run_solver
   0.66         1  alloc::boxed::Box<T>::new
   0.66         1  hashbrown::map::make_hash
   0.66         1  <core::hash::sip::Hasher<S> as core::hash::Hasher>::write_str
   0.66         1  diffsol::ode_solver::runge_kutta::Rk<Eqn,M>::error_norm
   0.66         1  ndarray::impl_methods::<impl ndarray::ArrayBase<S,D>>::mapv
   0.66         1  diffsol::ode_solver::explicit_rk::ExplicitRk<Eqn,M,AugmentedEqn>::new
   0.66         1  earthsci_ast::simulate_array::ArrayCompiled::simulate_inspect::{{closure}}
   0.66         1  faer::linalg::matmul::matmul_imp
   0.66         1  earthsci_ast::simulate_array::eval_arrayop
   0.66         1  alloc::vec::Vec<T,A>::extend_desugared
   0.66         1  <diffsol::ode_solver::explicit_rk::ExplicitRk<Eqn,M,AugmentedEqn> as diffsol::ode_solver::method::OdeSolverMethod<Eqn>>::step
   0.66         1  core::ptr::drop_in_place<hashbrown::raw::RawTable<(alloc::string::String,earthsci_ast::types::ModelVariable)>>
   0.66         1  earthsci_ast::simulate_array::eval_vec_index
   0.66         1  diffsol::ode_solver::runge_kutta::Rk<Eqn,M>::do_stage
   0.66         1  <T as alloc::slice::<impl [T]>::to_vec_in::ConvertVec>::to_vec
