 Count  Overhead File                    Line Function
   999         3 @juliasrc/builtins.c    502 ijl_object_id_
  1008        18 @EarthSciAST/…alk/geometry_setup.jl  669 _materialize_geom_array(arrayop::…
  1017        35 @EarthSciAST/…/tree_walk/helpers.jl   93 _sub_preserving(expr::OpExpr, bin…
  1024        18 @Base/iddict.jl          92 get
  1026         0 @EarthSciAST/…/tree_walk/stencil.jl  288 _stencil_var_set(e::OpExpr, memo:…
  1026         0 @juliasrc/typemap.c    1240 jl_typemap_level_assoc_exact
  1045         0 @juliasrc/gf.c         4143 jl_lookup_generic_
  1050         0 @OrdinaryDiffEqCore/src/solve.jl   10 #__solve#58
  1051         9 @EarthSciAST/…/tree_walk/stencil.jl  324 _refs_idxset
  1057      1057 …/system/libdyld.dylib    ? _tlv_get_addr
  1112        55 @juliasrc/iddict.c      118 jl_table_peek_bp
  1120         0 @juliasrc/gc-stock.c   3187 _jl_gc_collect
  1142         0 @EarthSciAST/src/simulate.jl  312 simulate(input::EsmFile, tspan::T…
  1142         0 @EarthSciAST/…hSciASTSimulateExt.jl   27 kwcall(::@NamedTuple{callback::Sc…
  1142         0 @EarthSciAST/…hSciASTSimulateExt.jl   36 _simulate_solve(f!::Function, u0:…
  1142         0 @DiffEqBase/src/solve.jl  591 kwcall(::@NamedTuple{tstops::Vect…
  1142         0 @DiffEqBase/src/solve.jl  603 solve(prob::SciMLBase.ODEProblem{…
  1142         0 @DiffEqBase/src/solve.jl  619 solve_up
  1142         0 @DiffEqBase/src/solve.jl  646 solve_up(prob::SciMLBase.ODEProbl…
  1142         0 @DiffEqBase/src/solve.jl  137 kwcall(::@NamedTuple{verbose::Boo…
  1142         0 @DiffEqBase/src/solve.jl  172 #solve_call#22
  1142         0 @OrdinaryDiffEqCore/src/solve.jl    1 __solve
  1152         0 @EarthSciAST/…/tree_walk/stencil.jl  341 _branch_key!(io::IOBuffer, e::OpE…
  1175         7 @EarthSciAST/…/tree_walk/resolve.jl  636 _resolve_indices_op(expr::OpExpr,…
  1214         0 @juliasrc/gf.c         4141 jl_lookup_generic_
  1214        26 @juliasrc/gf.c         3072 lookup_arg_type_tuple
  1267         0 @juliasrc/gc-stock.c    799 jl_gc_alloc_
  1267         0 @juliasrc/gc-stock.c    785 jl_gc_small_alloc_noinline
  1297         5 @juliasrc/julia_internal.h 1816 jl_typemap_assoc_exact
  1310         1 @EarthSciAST/…/tree_walk/helpers.jl   44 _sub_arg_vec(args::Vector{EarthSc…
  1318         0 @juliasrc/gc-stock.c   2519 gc_mark_loop_serial_
  1389         0 @juliasrc/gc-stock.c   2542 gc_mark_loop_serial
  1413         0 @EarthSciAST/…/tree_walk/stencil.jl  399 _branch_key_indexed!(io::IOBuffer…
  1418         0 @juliasrc/gc-stock.c   3074 _jl_gc_collect
  1422         2 @EarthSciAST/…/tree_walk/stencil.jl  345 _branch_key!(io::IOBuffer, e::OpE…
  1461         1 @EarthSciAST/…/tree_walk/stencil.jl  350 _branch_key!(io::IOBuffer, e::OpE…
  1462         0 @EarthSciAST/…/tree_walk/stencil.jl  595 _try_symbolic_stencil(rhs_body::O…
  1474         5 @EarthSciAST/…/tree_walk/helpers.jl   57 _sub_preserving(expr::OpExpr, bin…
  1771         0 @EarthSciAST/…/tree_walk/resolve.jl  403 _resolve_arg_vec(args::Vector{Ear…
  1807        14 @EarthSciAST/…alk/geometry_setup.jl  658 _materialize_geom_array(arrayop::…
  1835         0 @EarthSciAST/…rc/tree_walk/build.jl 1388 _build_evaluator_impl(model::Mode…
  1835         0 @EarthSciAST/…rc/tree_walk/build.jl 1477 _compile_derivative_equations(der…
  1835         0 @EarthSciAST/…rc/tree_walk/build.jl 1555 _compile_arrayop_equation!(vec_ke…
  1965         0 @juliasrc/typemap.c    1196 jl_typemap_level_assoc_exact
  1978         2 @EarthSciAST/…/tree_walk/resolve.jl  620 _resolve_indices_op(expr::OpExpr,…
  2051         0 @juliasrc/iddict.c      157 ijl_eqtable_get
  2220         0 @juliasrc/gc-stock.c    776 ijl_gc_small_alloc
  2334        26 @juliasrc/julia_internal.h 1820 jl_typemap_assoc_exact
  2364         0 @juliasrc/gf.c         4147 jl_lookup_generic_
  2767         0 @juliasrc/gc-stock.c    351 maybe_collect
  2767         0 @juliasrc/gc-stock.c   3475 ijl_gc_collect
  2795         1 @EarthSciAST/…/tree_walk/resolve.jl  226 _resolve_index_of_arrayop(arrayop…
  2890         0 @juliasrc/gc-stock.c    727 jl_gc_small_alloc_inner
  2939         9 @EarthSciAST/…/tree_walk/resolve.jl  463 _resolve_indices(expr::OpExpr, ar…
  3446         6 @EarthSciAST/…alk/geometry_setup.jl  379 _geo_agg_gate(expr::OpExpr, ie::D…
  3582        25 @EarthSciAST/…alk/geometry_setup.jl  670 _materialize_geom_array(arrayop::…
  5353         0 @juliasrc/gf.c         4210 ijl_apply_generic
  5600         0 @EarthSciAST/…rc/tree_walk/build.jl  993 _build_discrete_materializer!(mut…
  5679         0 @EarthSciAST/…/tree_walk/resolve.jl  501 _resolve_indices_op(expr::OpExpr,…
  5737         0 @EarthSciAST/…/tree_walk/resolve.jl  463 _resolve_indices
  5904         0 @EarthSciAST/…rc/tree_walk/build.jl 1376 _build_evaluator_impl(model::Mode…
  8148         0 @EarthSciAST/…alk/geometry_setup.jl 1162 _materialize_geometry_setup(setup…
  8414         0 @EarthSciAST/…rc/tree_walk/build.jl 1155 _build_evaluator_impl(model::Mode…
  8414         0 @EarthSciAST/…alk/geometry_setup.jl 1085 _materialize_geometry_setup
 16217         0 @EarthSciAST/…rc/tree_walk/build.jl 1792 build_evaluator(esm::Dict{String,…
 16217         0 @EarthSciAST/…rc/tree_walk/build.jl 1725 kwcall(::@NamedTuple{model_name::…
 16217         0 @EarthSciAST/…rc/tree_walk/build.jl 1731 #build_evaluator#508
 16217         0 @EarthSciAST/…rc/tree_walk/build.jl 1715 build_evaluator
 16217         0 @EarthSciAST/…rc/tree_walk/build.jl 1716 #build_evaluator#507
 16217         0 @EarthSciAST/…rc/tree_walk/build.jl 1017 _build_evaluator_impl
 16401         0 @EarthSciAST/src/simulate.jl  290 simulate(input::EsmFile, tspan::T…
 16401         0 @EarthSciAST/…rc/tree_walk/build.jl 1750 build_evaluator
 17618         0 …ire.esm/profile-jl.jl  121 sim_once(tend::Float64)
 17618         0 @EarthSciAST/src/simulate.jl  235 kwcall(::@NamedTuple{alg::Ordinar…
 17622         0 @juliasrc/toplevel.c   1024 jl_toplevel_eval_flex
 17622         0 @Base/timing.jl         461 top-level scope
 17622         0 …ire.esm/profile-jl.jl  139 macro expansion
 17622         0 @Profile/src/Profile.jl   60 macro expansion
 17947       875 [any unknown stackframes]
 18182         0 @juliasrc/jlapi.c      1139 jl_repl_entrypoint
 18182         0 @juliasrc/jlapi.c       971 true_main
 18182         2 @juliasrc/julia.h      2391 jl_apply
 18182         0 @julialib/julia/sys.dylib    ? jfptr__start_29115.1
 18182         0 @Base/client.jl         550 _start()
 18182         0 @Base/client.jl         317 exec_options(opts::Base.JLOptions)
 18182         0 @Base/Base.jl           306 include(mod::Module, _path::Strin…
 18182         0 @Base/loading.jl       2934 _include(mapexpr::Function, mod::…
 18182         0 @Base/loading.jl       2874 include_string(mapexpr::typeof(id…
 18182         0 @Base/boot.jl           489 eval(m::Module, e::Any)
 18182         0 @juliasrc/toplevel.c   1092 ijl_toplevel_eval_in
 18182         0 @juliasrc/toplevel.c   1047 ijl_toplevel_eval
 18182         0 @juliasrc/toplevel.c    975 jl_toplevel_eval_flex
Total snapshots: 20948. Utilization: 100% across all threads and tasks. Use the `groupby` kwarg to break down by thread and/or task.
