 Count  Overhead File                    Line Function
    73        73 @juliasrc/iddict.c        ? jl_table_peek_bp
    74        72 @Base/Base_compiler.jl   54 getproperty
    74         0 @juliasrc/gc-stock.c   1686 gc_try_claim_and_push
    74         0 @EarthSciAST/…/tree_walk/stencil.jl  326 _refs_idxset
    74         4 @juliasrc/typemap.c    1148 jl_typemap_entry_assoc_exact
    76        76 @juliasrc/support/hashing.c   69 memhash_seed
    76        76 @julialib/…internal.1.12.6.dylib    ? [unknown function]
    77        77 @juliasrc/gc-stock.c   1263 gc_sweep_pool_parallel
    77         0 @juliasrc/jltypes.c    1830 typekeyvalue_hash
    77        77 @juliasrc/datatype.c   1857 ijl_get_nth_field_checked
    78         0 @juliasrc/gc-stock.c    309 gc_setmark_pool
    78         0 @EarthSciAST/…/tree_walk/stencil.jl  171 _stencilize(e::OpExpr, idxset::Se…
    78         0 @EarthSciAST/…/tree_walk/stencil.jl  203 _stencilize_index(e::OpExpr, idxs…
    78        78 @juliasrc/gc-stock.c   2251 gc_mark_outrefs
    79        72 @juliasrc/jltypes.c    1016 typekeyvalue_eq
    80        36 @juliasrc/datatype.c   1132 ijl_new_bits
    81        26 @Base/range.jl          921 iterate
    84         0 @Base/broadcast.jl      695 _getindex
    84         3 @Base/array.jl          800 collect(itr::Base.Generator{Vecto…
    84         0 @EarthSciAST/…/tree_walk/stencil.jl  185 _stencilize(e::OpExpr, idxset::Se…
    84         0 @Base/set.jl             92 in
    84         0 @juliasrc/subtype.c    1374 subtype_tuple
    86         0 @EarthSciAST/…/tree_walk/stencil.jl  604 _try_symbolic_stencil(rhs_body::O…
    86         0 @Base/boot.jl           683 _Symbol
    86         0 @juliasrc/symbol.c       88 _jl_symbol
    86         3 @juliasrc/jltypes.c    1019 typekeyvalue_eq
    86         2 @juliasrc/jltypes.c    1775 type_hash
    87        87 @juliasrc/gc-stock.c    912 gc_sweep_page
    88        29 @juliasrc/builtins.c    414 immut_id_
    89         0 @Base/dict.jl           371 setindex!(h::Dict{String, Any}, v…
    89        36 @juliasrc/gf.c         4127 jl_lookup_generic_
    89         0 @Base/array.jl          412 getindex
    90        90 @juliasrc/datatype.c   1810 ijl_get_nth_field
    90        90 @juliasrc/gf.c         3991 _jl_invoke
    91         0 @Base/broadcast.jl      671 _broadcast_getindex
    91         0 @Base/broadcast.jl      665 _broadcast_getindex
    92         1 @juliasrc/datatype.c   1814 ijl_get_nth_field
    92         0 @OrdinaryDiffEqCore/src/solve.jl    9 #__solve#58
    92         0 @OrdinaryDiffEqCore/src/solve.jl   19 __init
    92         0 @OrdinaryDiffEqCore/src/solve.jl   37 #__init#59
    92         0 @OrdinaryDiffEqCore/src/solve.jl   47 _ode_init
    92         3 @Base/generator.jl       48 iterate
    92         0 @juliasrc/builtins.c    454 immut_id_
    92         6 @Base/boot.jl           690 Symbol(s::String)
    92        92 @juliasrc/jltypes.c    1009 typekeyvalue_eq
    93         0 @EarthSciAST/…/tree_walk/stencil.jl  462 _eval_recipe(rec::EarthSciAST._La…
    93        11 @Base/array.jl          901 iterate(A::Vector{Any}, i::Int64)
    94        69 @juliasrc/typemap.c    1182 jl_typemap_level_assoc_exact
    94         0 @EarthSciAST/…/tree_walk/helpers.jl   47 _sub_arg_vec(args::Vector{EarthSc…
    95         8 @juliasrc/datatype.c   1652 ijl_new_structv
    98         0 @EarthSciAST/…/tree_walk/stencil.jl  370 _branch_key_indexed!(io::IOBuffer…
    98         3 @juliasrc/jltypes.c    1011 typekeyvalue_eq
    98        12 @Base/iterators.jl      416 iterate(z::Base.Iterators.Zip{Tup…
    99        99 @juliasrc/support/MurmurHash3.c  296 MurmurHash3_x64_128
   100       100 @juliasrc/gf.c         4042 sig_match_fast
   100       100 @juliasrc/support/MurmurHash3.c    ? MurmurHash3_x64_128
   100         0 @EarthSciAST/…/tree_walk/resolve.jl  175 _resolve_index_of_arrayop(arrayop…
   101         0 @juliasrc/typemap.c     277 is_cache_leaf
   102       102 @juliasrc/iddict.c      158 ijl_eqtable_get
   103         1 @EarthSciAST/…alk/geometry_setup.jl  406 _geo_eval(expr::VarExpr, ctx::Ear…
   106         0 @OrdinaryDiffEqCore/src/solve.jl  894 solve!(integrator::OrdinaryDiffEq…
   106         0 @OrdinaryDiffEqCore/…s/integrator_utils.jl  494 loopfooter!
   106         0 @OrdinaryDiffEqCore/…s/integrator_utils.jl  543 _loopfooter!(integrator::Ordinary…
   106         0 @OrdinaryDiffEqCore/…s/integrator_utils.jl  690 handle_callbacks!(integrator::Ord…
   106         0 @DiffEqBase/src/callbacks.jl  526 apply_discrete_callback!
   107         0 @Base/tuple.jl          454 Tuple
   107         0 @Base/tuple.jl          491 _totuple
   107       105 @juliasrc/gf.c         4045 sig_match_fast
   107         0 @EarthSciAST/…alk/geometry_setup.jl 1148 _materialize_geometry_setup(setup…
   107         0 @EarthSciAST/…alk/geometry_setup.jl  868 _materialize_setup_wholearray(rhs…
   108         0 @juliasrc/datatype.c   1813 ijl_get_nth_field
   109        45 @juliasrc/gf.c         4126 jl_lookup_generic_
   110        26 @Base/essentials.jl     919 getindex
   110       110 @juliasrc/gc-stock.c      ? gc_mark_obj8
   112         0 @juliasrc/builtins.c    432 immut_id_
   112       112 @juliasrc/builtins.c      ? ijl_egal__bitstag
   113       113 @juliasrc/datatype.c   1845 ijl_get_nth_field
   113       113 @juliasrc/jltypes.c       ? typekeyvalue_hash
   114         0 @EarthSciAST/…ree_walk/vectorize.jl  579 _eval_vec_op(n::EarthSciAST._VecN…
   114       114 @juliasrc/gc-stock.c    916 gc_sweep_page
   114       114 @juliasrc/gf.c            ? sig_match_fast
   115       115 @juliasrc/typemap.c       ? sig_match_simple
   116       116 @juliasrc/gc-stock.c    735 jl_gc_small_alloc_inner
   117         0 @juliasrc/gc-stock.c   1705 gc_mark_obj8
   118         1 @EarthSciAST/…/tree_walk/helpers.jl   34 _sub_preserving(expr::VarExpr, bi…
   121       121 @juliasrc/gc-stock.c    350 maybe_collect
   121        25 @Base/dict.jl           249 ht_keyindex
   121       121 @Base/dict.jl           502 get(h::Dict{String, Int64}, key::…
   122       122 @Base/essentials.jl     386 getindex
   124         0 @EarthSciAST/…ree_walk/vectorize.jl  590 _eval_vec_op(n::EarthSciAST._VecN…
   125         0 @Base/array.jl          405 getindex
   127       127 @juliasrc/threading.c   262 ijl_get_pgcstack
   127        33 @juliasrc/jltypes.c    1822 typekeyvalue_hash
   128       128 @juliasrc/gf.c         3989 _jl_invoke
   129         0 @Base/iterators.jl      425 _zip_iterate_all
   130         0 @Base/iterators.jl      433 _zip_iterate_some
   131       131 @juliasrc/gc-stock.c    242 gc_try_setmark_tag
   132         0 @EarthSciAST/…/tree_walk/helpers.jl  295 _eval_cellwise(expr::OpExpr, cell…
   132         0 @EarthSciAST/…rc/tree_walk/build.jl 1781 build_evaluator(esm::Dict{String,…
   132         0 @EarthSciAST/…alk/geometry_setup.jl 1324 _derive_binning_coords(model::Mod…
   133       133 …system_platform.dylib    ? _platform_memmove
   134       134 @juliasrc/gc-stock.c   1422 gc_sweep_pool
   135        21 @juliasrc/gc-stock.c   1685 gc_try_claim_and_push
   137       137 …system_platform.dylib    ? _platform_memset
   138         0 @juliasrc/jltypes.c    1805 typekey_hash
   138        49 @juliasrc/gf.c         4209 ijl_apply_generic
   138         4 @juliasrc/builtins.c    942 arg_tuple
   139        20 @Base/strings/string.jl  163 ==
   139         1 @juliasrc/gc-stock.c   2273 gc_mark_outrefs
   142         0 @juliasrc/gc-stock.c   1837 gc_mark_objarray
   143         6 @juliasrc/jltypes.c    1121 lookup_type
   145         0 @Base/array.jl          901 iterate
   145         0 @EarthSciAST/…alk/geometry_setup.jl  517 _geo_eval(expr::OpExpr, ctx::Eart…
   146         1 @EarthSciAST/…/tree_walk/resolve.jl  404 _resolve_arg_vec(args::Vector{Ear…
   146         0 @EarthSciAST/…/tree_walk/resolve.jl  554 _resolve_indices_op(expr::OpExpr,…
   147         0 @juliasrc/builtins.c    106 compare_fields
   148         0 @EarthSciAST/…iASTDataRefreshExt.jl   98 (::EarthSciASTDataRefreshExt.var"…
   150         1 @EarthSciAST/…alk/geometry_setup.jl  668 _materialize_geom_array(arrayop::…
   151         1 @EarthSciAST/…/tree_walk/compile.jl  549 _eval_node_op(n::EarthSciAST._Nod…
   153       153 @juliasrc/gc-stock.c    915 gc_sweep_page
   153       153 @juliasrc/staticdata.c 2347 gc_sweep_sysimg
   154         0 @OrdinaryDiffEqTsit5/…/tsit_perform_step.jl  228 perform_step!(integrator::Ordinar…
   154         0 @juliasrc/builtins.c    868 jl_f__apply_iterate
   154        12 @Base/boot.jl           648 Array
   154         2 @EarthSciAST/…/tree_walk/resolve.jl  571 _resolve_indices_op(expr::OpExpr,…
   154         0 @EarthSciAST/…alk/geometry_setup.jl  653 _materialize_geom_array(arrayop::…
   155         4 @juliasrc/jltypes.c    1823 typekeyvalue_hash
   155         3 @EarthSciAST/…alk/geometry_setup.jl  514 _geo_eval(expr::OpExpr, ctx::Eart…
   156         0 @OrdinaryDiffEqTsit5/…/tsit_perform_step.jl  221 perform_step!(integrator::Ordinar…
   156         0 @OrdinaryDiffEqTsit5/…/tsit_perform_step.jl  217 perform_step!(integrator::Ordinar…
   156         0 @OrdinaryDiffEqTsit5/…/tsit_perform_step.jl  211 perform_step!(integrator::Ordinar…
   156        60 @juliasrc/typemap.c    1191 jl_typemap_level_assoc_exact
   156         0 @EarthSciAST/…alk/geometry_setup.jl 1159 _materialize_geometry_setup(setup…
   156         0 @EarthSciAST/…alk/geometry_setup.jl  758 _materialize_setup_general_map(rh…
   157         0 @OrdinaryDiffEqTsit5/…/tsit_perform_step.jl  236 perform_step!(integrator::Ordinar…
   157       157 @juliasrc/gf.c         3995 _jl_invoke
   158         0 @Base/broadcast.jl      616 getindex
   158         0 @Base/broadcast.jl      620 _getindex
   158         0 @OrdinaryDiffEqTsit5/…/tsit_perform_step.jl  214 perform_step!(integrator::Ordinar…
   158       158 @juliasrc/iddict.c      125 jl_table_peek_bp
   159         0 @EarthSciAST/…alk/geometry_setup.jl  519 _geo_eval(expr::OpExpr, ctx::Eart…
   160        22 @juliasrc/datatype.c   1788 ijl_field_index
   160       160 …system_platform.dylib    ? _platform_memcmp
   162         0 @EarthSciAST/…ree_walk/vectorize.jl  635 _eval_vec_op(n::EarthSciAST._VecN…
   163         0 @EarthSciAST/…/tree_walk/compile.jl  588 _eval_node_op(n::EarthSciAST._Nod…
   164         0 @EarthSciAST/…/tree_walk/compile.jl  473 _eval_node(n::EarthSciAST._Node, …
   165         0 @EarthSciAST/…alk/geometry_setup.jl  518 _geo_eval(expr::OpExpr, ctx::Eart…
   166       166 @Base/essentials.jl     920 getindex
   167         0 @EarthSciAST/…ree_walk/vectorize.jl  388 _eval_vec(n::EarthSciAST._VecNode…
   169         0 @Base/array.jl          333 _fill!
   172         0 @EarthSciAST/…ree_walk/vectorize.jl  566 _eval_vec_op(n::EarthSciAST._VecN…
   172       172 @juliasrc/gf.c         4208 ijl_apply_generic
   173         0 @EarthSciAST/…/tree_walk/resolve.jl  218 _resolve_index_of_arrayop(arrayop…
   175         4 @Base/array.jl          795 collect(itr::Base.Generator{Vecto…
   176         0 @Base/array.jl          329 fill!
   176        81 @juliasrc/gf.c         4125 jl_lookup_generic_
   180         0 @Base/dict.jl           548 haskey
   181         0 @juliasrc/gc-stock.c   3189 _jl_gc_collect
   181         0 @juliasrc/gc-stock.c   1467 gc_sweep_perm_alloc
   182         0 @EarthSciAST/…/tree_walk/compile.jl  616 _eval_node_op(n::EarthSciAST._Nod…
   183         1 @juliasrc/jltypes.c    2479 jl_inst_arg_tuple_type
   183         0 @EarthSciAST/…/tree_walk/resolve.jl  406 _resolve_arg_vec(args::Vector{Ear…
   185         0 @juliasrc/builtins.c    434 immut_id_
   187         1 @juliasrc/jltypes.c    2138 inst_datatype_inner
   189         1 @EarthSciAST/…/tree_walk/compile.jl  494 _eval_node(n::EarthSciAST._Node, …
   190       188 @juliasrc/julia.h      1594 jl_field_isptr
   190        14 @Base/dict.jl           548 haskey(h::Dict{String, Any}, key:…
   192         0 @EarthSciAST/…/tree_walk/compile.jl  494 _eval_node
   192         0 @juliasrc/builtins.c    935 arg_tuple
   199         1 @EarthSciAST/…/tree_walk/resolve.jl  566 _resolve_indices_op(expr::OpExpr,…
   201        39 @julialib/julia/sys.dylib    ? jfptr_getindex_10288.1
   205         4 @Base/tuple.jl          162 indexed_iterate
   207         0 @EarthSciAST/…rc/tree_walk/build.jl  994 _build_discrete_materializer!(mut…
   207         3 @EarthSciAST/…alk/geometry_setup.jl  513 _geo_eval(expr::OpExpr, ctx::Eart…
   209        44 @juliasrc/gf.c         4124 jl_lookup_generic_
   210         0 @EarthSciAST/…rc/tree_walk/build.jl 1006 (::EarthSciAST.var"#materialize!#…
   210         0 @Base/dict.jl           503 get(h::Dict{String, Int64}, key::…
   211        24 @julialib/julia/sys.dylib    ? jfptr_haskey_56050.1
   217         0 @EarthSciAST/…ree_walk/vectorize.jl  671 _eval_vec_op(n::EarthSciAST._VecN…
   224         0 @EarthSciAST/…/tree_walk/stencil.jl  617 _try_symbolic_stencil(rhs_body::O…
   225         1 @EarthSciAST/…/tree_walk/compile.jl  118 _compile(expr::OpExpr, var_map::D…
   225         0 @EarthSciAST/…/tree_walk/compile.jl  118 _compile
   225         3 @EarthSciAST/…/tree_walk/compile.jl  188 _compile_op(expr::OpExpr, var_map…
   227         7 @juliasrc/datatype.c   1143 ijl_new_bits
   229         0 @juliasrc/builtins.c    109 compare_fields
   230        10 @juliasrc/typemap.c    1135 jl_typemap_entry_assoc_exact
   231       231 @juliasrc/support/hashing.c   34 int64hash
   236         0 @Base/array.jl          354 copy
   238         1 @EarthSciAST/…/tree_walk/helpers.jl   45 _sub_arg_vec(args::Vector{EarthSc…
   238       238 @juliasrc/iddict.c      141 jl_table_peek_bp
   239         0 @juliasrc/jltypes.c    1409 inst_datatype_env
   240         0 @juliasrc/builtins.c    341 hash_svec
   240         3 @EarthSciAST/…alk/geometry_setup.jl  381 _geo_agg_gate(expr::OpExpr, ie::D…
   249       249 @juliasrc/julia.h      1710 jl_is_kind
   260         0 @juliasrc/julia.h      1592 jl_field_isptr
   260         0 @EarthSciAST/…/tree_walk/helpers.jl  290 _eval_cellwise
   261         3 @juliasrc/gc-stock.c   2412 gc_mark_outrefs
   265       265 …ibsystem_kernel.dylib    ? madvise
   274       274 @juliasrc/gc-stock.c    913 gc_sweep_page
   282         0 @Base/dict.jl           476 getindex(h::Dict{String, EarthSci…
   293         0 @juliasrc/subtype.c    1791 exists_subtype
   297         0 @juliasrc/subtype.c    1820 forall_exists_subtype
   298        14 @EarthSciAST/…alk/geometry_setup.jl  383 _geo_agg_gate(expr::OpExpr, ie::D…
   299         0 @juliasrc/gc-stock.c    707 gc_add_page
   299       299 @juliasrc/gc-stock.h    350 set_page_metadata
   304         0 @juliasrc/gc-stock.c    765 jl_gc_small_alloc_inner
   308         8 @juliasrc/builtins.c    475 jl_object_id__cold
   312        88 @juliasrc/support/hashing.h   31 bitmix
   319         0 @juliasrc/subtype.c    2279 ijl_subtype_env
   325         0 @EarthSciAST/…/tree_walk/resolve.jl  561 _resolve_indices_op(expr::OpExpr,…
   326         0 @Base/array.jl          937 getindex
   326         0 @Base/abstractarray.jl  822 similar
   326         0 @Base/array.jl          377 similar
   329         0 @EarthSciAST/…ree_walk/vectorize.jl  578 _eval_vec_op(n::EarthSciAST._VecN…
   335         8 @EarthSciAST/…alk/geometry_setup.jl  338 _geo_loopvar_for(col::String, set…
   343         3 @EarthSciAST/…alk/geometry_setup.jl  378 _geo_agg_gate(expr::OpExpr, ie::D…
   363       363 @juliasrc/julia.h      1515 jl_is_layout_opaque
   375         0 @Base/boot.jl           660 Array
   377       172 @juliasrc/julia.h      1586 jl_field_offset
   390       389 …urces/julia/bin/julia    ? jl_get_pgcstack_static
   399         0 @juliasrc/typemap.c     312 mtcache_hash_lookup
   401         0 @Base/boot.jl           647 Array
   403         0 @EarthSciAST/…ree_walk/vectorize.jl  545 _eval_vec_op(n::EarthSciAST._VecN…
   403         0 @juliasrc/subtype.c    2239 ijl_obvious_subtype
   404         1 @juliasrc/subtype.c    2267 ijl_subtype_env
   405         0 @juliasrc/typemap.c    1193 jl_typemap_level_assoc_exact
   407         2 @EarthSciAST/…alk/geometry_setup.jl  380 _geo_agg_gate(expr::OpExpr, ie::D…
   410         6 @juliasrc/builtins.c    940 arg_tuple
   425        16 @juliasrc/julia.h      1877 jl_egal__unboxed_
   428        26 @juliasrc/builtins.c    508 ijl_object_id
   437         9 @juliasrc/gc-stock.c   2463 gc_mark_outrefs
   464         0 @EarthSciAST/…alk/geometry_setup.jl  659 _materialize_geom_array(arrayop::…
   471         0 @Base/broadcast.jl      995 macro expansion
   472         0 @Base/simdloop.jl        77 macro expansion
   483         0 @juliasrc/support/hashing.c   74 memhash_seed
   501         0 @Base/broadcast.jl      994 copyto!
   501         0 @juliasrc/julia.h      1887 jl_egal_
   510         0 @Base/broadcast.jl      947 copyto!
   510         1 @EarthSciAST/src/types.jl   47 NumExpr
   516         0 @Base/broadcast.jl      902 materialize!
   516         0 @Base/broadcast.jl      905 materialize!
   520         0 @juliasrc/gf.c         4214 ijl_apply_generic
   530         0 @EarthSciAST/…ree_walk/vectorize.jl  583 _eval_vec_op(n::EarthSciAST._VecN…
   536         0 @Base/array.jl          986 setindex!
   536       494 @Base/array.jl          991 _setindex!
   540         0 @EarthSciAST/…ree_walk/vectorize.jl  636 _eval_vec_op(n::EarthSciAST._VecN…
   554         0 @Base/dict.jl           242 ht_keyindex
   562         6 @EarthSciAST/…alk/geometry_setup.jl  384 _geo_agg_gate(expr::OpExpr, ie::D…
   563        56 @juliasrc/jltypes.c    1067 lookup_type_setvalue
   568         1 @EarthSciAST/…ree_walk/vectorize.jl  560 _eval_vec_op(n::EarthSciAST._VecN…
   583         0 @EarthSciAST/…ree_walk/vectorize.jl  676 _eval_vec_op(n::EarthSciAST._VecN…
   583         2 @juliasrc/iddict.c      128 jl_table_peek_bp
   590         9 @juliasrc/datatype.c   1842 ijl_get_nth_field
   592         0 @juliasrc/jltypes.c    1136 lookup_typevalue
   595         5 @Base/boot.jl           792 NamedTuple
   596         1 @juliasrc/genericmemory.c   41 jl_alloc_genericmemory_unchecked
   597         0 @EarthSciAST/…ree_walk/vectorize.jl  565 _eval_vec_op(n::EarthSciAST._VecN…
   604         0 @EarthSciAST/…/tree_walk/resolve.jl  224 _resolve_index_of_arrayop(arrayop…
   624         0 @Base/dict.jl           128 hashindex
   624         0 @Base/hashing.jl         28 hash
   624        25 @Base/hashing.jl        200 hash
   645         0 @EarthSciAST/…ree_walk/vectorize.jl  540 _eval_vec_op(n::EarthSciAST._VecN…
   654        18 @Base/boot.jl           588 GenericMemory
   674         0 @EarthSciAST/…ree_walk/vectorize.jl  542 _eval_vec_op(n::EarthSciAST._VecN…
   691         0 @juliasrc/jltypes.c    1139 lookup_typevalue
   722         3 @juliasrc/subtype.c    2417 jl_tuple1_isa
   729         0 @EarthSciAST/…ree_walk/vectorize.jl  637 _eval_vec_op(n::EarthSciAST._VecN…
   744       382 @juliasrc/julia.h      1523 jl_datatype_layout
   808         0 @EarthSciAST/…ree_walk/vectorize.jl  555 _eval_vec_op(n::EarthSciAST._VecN…
   815        12 @juliasrc/typemap.c    1152 jl_typemap_entry_assoc_exact
   839         1 @EarthSciAST/…/tree_walk/resolve.jl  221 _resolve_index_of_arrayop(arrayop…
   859         0 @juliasrc/gc-stock.c    983 gc_sweep_pool_page
   860         0 @juliasrc/gc-stock.c   1275 gc_sweep_pool_parallel
   866         0 @OrdinaryDiffEqCore/src/solve.jl  889 solve!(integrator::OrdinaryDiffEq…
   880         0 @EarthSciAST/…ree_walk/vectorize.jl  577 _eval_vec_op(n::EarthSciAST._VecN…
   892         1 @EarthSciAST/…ree_walk/vectorize.jl  550 _eval_vec_op(n::EarthSciAST._VecN…
   938         0 @OrdinaryDiffEqTsit5/…/tsit_perform_step.jl  203 perform_step!
   940         0 @juliasrc/gc-stock.c   1394 gc_sweep_pool
   942         0 @EarthSciAST/…/tree_walk/resolve.jl  223 _resolve_index_of_arrayop(arrayop…
   952         0 @EarthSciAST/…ree_walk/vectorize.jl  552 _eval_vec_op(n::EarthSciAST._VecN…
   961         0 @SciMLBase/src/scimlfunctions.jl 2662 ODEFunction
   961         0 @FunctionWrappersWrappers/…onWrappersWrappers.jl  169 FunctionWrappersWrapper
   961         0 @FunctionWrappersWrappers/…onWrappersWrappers.jl  177 _call
   961         0 @FunctionWrappers/…c/FunctionWrappers.jl  144 FunctionWrapper
   961         0 @FunctionWrappers/…c/FunctionWrappers.jl  125 do_ccall
   961         0 @FunctionWrappers/…c/FunctionWrappers.jl  137 macro expansion
   961         0 @FunctionWrappers/…c/FunctionWrappers.jl   65 (::FunctionWrappers.CallWrapper{N…
   961         0 @SciMLBase/src/utils.jl  513 Void
   961         0 @EarthSciAST/…ree_walk/vectorize.jl  742 (::EarthSciAST.var"#f!#_make_rhs#…
   966         4 @EarthSciAST/…ree_walk/vectorize.jl  396 _eval_vec(n::EarthSciAST._VecNode…
   966        11 @juliasrc/gf.c         1492 lookup_leafcache
   966         0 @juliasrc/datatype.c   1858 ijl_get_nth_field_checked
   998         8 @EarthSciAST/…alk/geometry_setup.jl  654 _materialize_geom_array(arrayop::…
